Months,Results
w1,8690
w2,11200
w3,14600
w4,16100
w5,17800
w6,20000
w7,20700
w8,26500
w9,26500
w10,26500
w11,33300
w12,33300
w13,33300
w14,33300
w15,33300
w16,33300
w17,39300
w18,39300
w19,39400
w20,39400
w21,39400
w22,39400
w23,43600
w24,43600
w25,43600
w26,43600
w27,43600
w28,43600
w29,47900
w30,47900
w31,47900
w32,47900
w33,47900
w34,47900
w35,52800
w36,52800
w37,52800
w38,52800
w39,52800
w40,52800
w41,57100
w42,56900
w43,56900
w44,56900
w45,60900
w46,56900
w47,62200
w48,62200
w49,62200
w50,62200
w51,66800
w52,62200
w53,66800
w54,71500
w55,66800
w56,66800
w57,71800
w58,66800
w59,71700
w60,71700
w61,71700
w62,71700
w63,71700
w64,72000
w65,75700
w66,75700
w67,75700
w68,75700
w69,75700
w70,75100
w71,79800
w72,79800
w73,77300
w74,79800
w75,79800
w76,79800
w77,83800
w78,83800
w79,83800
w80,83800
w81,83800
w82,83800
w83,89200
w84,89200
w85,89200
w86,89200
w87,89200
w88,101000
w89,101000
w90,101000
w91,101000
w92,101000
w93,101000
w94,104000
w95,101000
w96,104000
w97,104000
w98,104000
w99,114000
w100,106000
w101,106000
w102,106000
w103,106000
w104,106000
