Weeks,Results
W105,900
W104,0
W103,-400
W102,0
W101,0
W100,2200
W99,0
W98,0
W97,0
W96,0
W95,0
W94,3100
W93,0
W92,-300
W91,0
W90,0
W89,0
W88,2800
W87,0
W86,0
W85,-100
W84,100
W83,0
W82,2100
W81,100
W80,-600
W79,0
W78,0
W77,-1000
W76,2800
W75,-400
W74,200
W73,-500
W72,600
W71,0
W70,4100
W69,0
W68,1500
W67,700
W66,100
W65,700
W64,5400
W63,-800
W62,-1000
W61,0
W60,-500
W59,100
W58,3200
W57,100
W56,2000
W55,-100
W54,-200
W53,0
W52,1500
W51,300
W50,200
W49,300
W48,0
W47,2000
W46,300
W45,-400
W44,0
W43,-200
W42,0
W41,19290
W40,80
W39,230
W38,-80
W37,-110
W36,140
W35,540
W34,40
W33,210
W32,0
W31,0
W30,210
W29,660
W28,-150
W27,10
W26,0
W25,-140
W24,-100
W23,480
W22,-90
W21,-60
W20,230
W19,-80
W18,100
W17,430
W16,-40
W15,-30
W14,-70
W13,-50
W12,60
W11,430
W10,20
W9,-10
W8,340
W7,210
W6,240
W5,160
W4,90
W3,90
W2,170
W1,339
